question,answer,source,focus_area
How to diagnose Paget's Disease of Bone ?,"An Underdiagnosed Disease Experts believe that Paget's disease is underdiagnosed; people with a mild case and no symptoms may never know they have the disease. Or, they may receive a diagnosis by accident when x-rays or other laboratory tests done for another reason reveal Paget's disease. When symptoms do occur, they usually appear gradually and, in the early stages, may be confused with those of arthritis or other medical problems. Sometimes a person may not receive a clear diagnosis until the disease progresses and complications develop. Diagnostic Tests X-rays are almost always used to diagnose Paget's disease, but the disease may be discovered using one of three tests: - x-rays  -  an alkaline phosphatase blood test  -  or a bone scan. x-rays an alkaline phosphatase blood test or a bone scan. Bones affected by Paget's disease have a distinctive appearance on x-rays, which may show increased bone density, an abnormal bone structure, bowing, and enlargement. X-rays of leg bones may show very tiny fractures called microfractures. The enzyme alkaline phosphatase is involved in the normal growth of new bone. Having higher-than-normal levels of this chemical in the blood, however, may be a sign of Paget's disease. The alkaline phosphatase blood test measures the level of this substance. A bone scan provides a picture of the affected bones that doctors can use to see how far the disease has progressed. If a bone scan done for another reason suggests Paget's disease, the doctor can order x-rays to confirm the diagnosis. If the Disease Runs in the Family Early diagnosis and treatment of Paget's disease is important. Because Paget's disease can be hereditary, some experts recommend that the brothers, sisters, and children of anyone with the disease talk to their doctor about having an alkaline phosphatase blood test every 2 to 3 years after about age 40.",NIHSeniorHealth,Paget's Disease of Bone
What are the treatments for Paget's Disease of Bone ?,"Early Diagnosis is Important Although there is no cure for Paget's disease of bone, it is treatable. Treatment is most effective when the disease is diagnosed early, before it causes major changes in the affected bones. The goal of treatment is to relieve bone pain and prevent the disease from progressing. Medications Are Available The Food and Drug Administration has approved several medications that can stop or slow down the progression of the disease and reduce pain and other symptoms. These medications fall into two categories: bisphosphonates and calcitonin. Both medications work by stopping or reducing the excessive breakdown of old bone that leads to excessive formation of new, but weaker, bone. People with Paget's disease should talk to their doctors about which medication is right for them. Bisphosphonates Six bisphosphonates are currently available for patients with Paget's disease. Doctors most commonly recommend the strongest ones, which include - risedronate  - alendronate   - pamidronate   - zoledronic acid   - tiludronate and etidronate are not as strong but may be appropriate for some patients.  risedronate alendronate pamidronate zoledronic acid tiludronate and etidronate are not as strong but may be appropriate for some patients. Some of the bisphosphonates approved for the treatment of Paget's disease, including risedronate and alendronate, are also approved for the treatment of osteoporosis. However, people with Paget's disease must take higher dosages of these medicines for shorter periods of time than people with osteoporosis. Calcitonin Doctors also may prescribe calcitonin to treat Paget's disease in some people, although it has been found to be less effective than bisphosphonates. Calcitonin is a naturally occurring hormone made by the thyroid gland. Your doctor may recommend that you repeat calcitonin treatments with brief rest periods in between treatments. The nasal spray form of calcitonin is not recommended or approved to treat Paget's disease. Surgery Surgery may be a treatment option for some people. Hip or knee replacement surgery may help people with severe arthritis. Surgery can also realign affected leg bones to reduce pain or help broken bones heal in a better position. Nutrition and Exercise Good nutrition and exercise are important for bone health, and that is true for people with Paget's disease as well. Women over age 50 should consume 1,200 milligrams (mg) of calcium daily. Men between the ages of 51 and 70 should consume 1,000 mg of calcium a day, and men over 70 should consume 1,200 mg per day. People ages 51 to 70 should consume at least 600 international units (IU) of vitamin D daily. People over age 70 should consume at least 800 IUs daily. Calcium keeps bones strong, and vitamin D helps the body absorb calcium. Exercise is very important in maintaining bone health, avoiding weight gain, and keeping joints mobile. However, people with Paget's disease need to avoid putting too much stress on affected bones. They should discuss their exercise program with their doctor to make sure it is a good one for them. Finding New Treatments Recently, there have been major advances in the treatment of Paget's disease of bone. Research into new treatments continues. Some researchers are trying to identify the genetic and viral causes of the disease. Other researchers are learning more about bone biology to better understand how the body breaks down old bone and replaces it with new bone.",NIHSeniorHealth,Paget's Disease of Bone
What is (are) Paget's Disease of Bone ?,"Paget's disease of bone is a disease that causes affected bones to become enlarged and misshapen. Our bones are living tissue, and our bodies are constantly breaking down old bone and replacing it with new bone. In Paget's disease, however, old bone is broken down and replaced at a faster rate than normal. The new bone is larger and weaker than normal bone.",NIHSeniorHealth,Paget's Disease of Bone
What are the symptoms of Paget's Disease of Bone ?,"Pain may be a symptom, especially among people with more advanced Paget's disease. Affected bones also can become enlarged, misshapen, and more fragile and likely to break. Misshapen bones tend to be most noticeable in the legs, skull, and spine.",NIHSeniorHealth,Paget's Disease of Bone
What are the complications of Paget's Disease of Bone ?,"Over time, Paget's disease may lead to other medical conditions, including arthritis, headaches, hearing loss, and nervous system problems, depending on which bones are affected. On very rare occasions, Paget's disease is associated with the development of osteosarcoma, a type of bone cancer. Less than one percent of patients have this complication.",NIHSeniorHealth,Paget's Disease of Bone
How to diagnose Paget's Disease of Bone ?,"Paget's disease is almost always diagnosed by x-ray, although it may be discovered using one of two other tests: an alkaline phosphatase blood test or a bone scan. Paget's disease is often found by accident when a person undergoes one of these tests for another reason. In other cases, a person experiences problems that lead his or her physician to order these tests. If Paget's disease is first suggested by an alkaline phosphatase blood test or bone scan, the physician usually orders an x-ray to verify the diagnosis. A bone scan is typically used to identify all the bones in the skeleton that are affected by the disease.",NIHSeniorHealth,Paget's Disease of Bone
What are the treatments for Paget's Disease of Bone ?,"The Food and Drug Administration has approved several medications that can stop or slow down the progression of the disease and reduce pain and other symptoms. These medications fall into two categories: bisphosphonates and calcitonin. Doctors most often prescribe one of the four strongest bisphosphonates, which are risedronate, alendronate, pamidronate, and zoledronic acid.",NIHSeniorHealth,Paget's Disease of Bone
What are the treatments for Paget's Disease of Bone ?,Yes. Some complications from Paget's disease respond well to surgery. Joint replacement may be helpful in people with severe arthritis of the hip or knee. Surgery can also realign affected leg bones to reduce pain or help broken bones heal in a better position.,NIHSeniorHealth,Paget's Disease of Bone
What is (are) Urinary Tract Infections ?,"A Common Problem With Aging Urinary tract infections (UTIs) are a common bladder problem, especially as people age. UTIs are the second most common type of infection in the body. Each year, UTIs cause more than 8 million visits to health care providers. UTIs can happen anywhere in the urinary system (which includes the kidneys, bladder, and urethra). But UTIs are most common in the bladder. A UTI in the bladder is called cystitis. Infections in the bladder can spread to the kidneys. A UTI in the kidneys is called pyelonephritis. Sometimes, a UTI can also develop in the urethra, but this is less common. A UTI in the urethra is called urethritis. Some UTIs Lead to Severe Problems Most UTIs are not serious. But some UTIs, such as kidney infections, can lead to severe problems. Bacteria from a kidney infection may spread to the bloodstream, causing a life-threatening condition called septicemia. When kidney infections occur frequently or last a long time, they may cause permanent damage to the kidneys, including kidney scars, poor kidney function, and high blood pressure.",NIHSeniorHealth,Urinary Tract Infections
What causes Urinary Tract Infections ?,"Most urinary tract infections, or UTIs, are caused by bacteria that enter the urethra and then the bladder. A type of bacteria that normally lives in the bowel (called E. coli) causes most UTIs. UTIs can also be caused by fungus (another type of germ). Who Gets UTIs? Although everyone has some risk for UTIs, some people are more likely to get UTIs than others. These include people who have - spinal cord injuries or other nerve damage around the bladder.  - a blockage in the urinary tract that can trap urine in the bladder. The blockage can be caused by kidney stones, an enlarged prostate, or a birth defect.  - diabetes  - problems with the bodys natural defense (or immune) system  - pelvic organ prolapse, which is when pelvic organs (such as the bladder, rectum, or uterus) shift out of their normal position into the vagina. When pelvic organs are out of place, they can push on the bladder and urethra and make it hard to fully empty the bladder. This causes urine to stay in the bladder. When urine stays in the bladder too long, it makes an infection more likely spinal cord injuries or other nerve damage around the bladder. a blockage in the urinary tract that can trap urine in the bladder. The blockage can be caused by kidney stones, an enlarged prostate, or a birth defect. diabetes problems with the bodys natural defense (or immune) system pelvic organ prolapse, which is when pelvic organs (such as the bladder, rectum, or uterus) shift out of their normal position into the vagina. When pelvic organs are out of place, they can push on the bladder and urethra and make it hard to fully empty the bladder. This causes urine to stay in the bladder. When urine stays in the bladder too long, it makes an infection more likely UTIs in Women More than half of women will have at least one UTI in their lifetime. Women are more likely than men to get UTIs because they have a shorter urethra, making it easier for bacteria to reach the bladder. Also, the bowel and urethral openings are closer together in women than in men, making it easier for E. coli (a bacteria that lives in the bowel) to travel from the bowel to the urethra. Many women suffer from frequent UTIs. Some women have 3 or more UTIs a year. However, very few women will have frequent UTIs throughout their lives. More typically, a woman will have a period of 1 or 2 years with frequent UTIs. After this period, the UTIs may stop or happen less often. Older women are more likely to get UTIs because the bladder muscles weaken and make it hard to fully empty the bladder. This causes urine to stay in the bladder. When urine stays in the bladder too long, it makes an infection more likely. UTIs in Men Men are less likely than women to have a first UTI. But once a man has a UTI, he is likely to have another. Bacteria from a UTI can spread to the prostate. Once there, the bacteria can hide deep inside prostate tissue. Prostate infections are hard to cure because antibiotics may not be able to reach the infected prostate tissue. Activities That Can Increase Risk - Having sex. Sexual activity can move bacteria from the bowel or vaginal cavity to the urethral opening. Urinating after sex lowers the risk of infection.  - Using a catheter to urinate. A catheter is a tube placed in the urethra and bladder to help people empty the bladder. The catheter can make a direct path for bacteria to reach the bladder.  - Using certain birth controls. Diaphragms can bring bacteria with them when they are placed. Spermicides (a birth control that kills sperm) may also make UTIs more likely. Having sex. Sexual activity can move bacteria from the bowel or vaginal cavity to the urethral opening. Urinating after sex lowers the risk of infection. Using a catheter to urinate. A catheter is a tube placed in the urethra and bladder to help people empty the bladder. The catheter can make a direct path for bacteria to reach the bladder. Using certain birth controls. Diaphragms can bring bacteria with them when they are placed. Spermicides (a birth control that kills sperm) may also make UTIs more likely.",NIHSeniorHealth,Urinary Tract Infections
What are the symptoms of Urinary Tract Infections ?,"Symptoms of a urinary tract infection (UTI) in the bladder may include - cloudy, bloody, or foul-smelling urine  - pain or burning during urination  - strong and frequent need to urinate, even right after emptying the bladder  - a mild fever below 101 degrees Fahrenheit in some people. cloudy, bloody, or foul-smelling urine pain or burning during urination strong and frequent need to urinate, even right after emptying the bladder a mild fever below 101 degrees Fahrenheit in some people. If the UTI spreads to the kidneys, symptoms may include - chills and shaking   - night sweats  - feeling tired or generally ill   - fever above 101 degrees Fahrenheit  - pain in the side, back, or groin  - flushed, warm, or reddened skin  - mental changes or confusion   - nausea and vomiting  - very bad abdominal pain in some people. chills and shaking night sweats feeling tired or generally ill fever above 101 degrees Fahrenheit pain in the side, back, or groin flushed, warm, or reddened skin mental changes or confusion nausea and vomiting very bad abdominal pain in some people. Symptoms May Vary Symptoms may differ depending on age, gender, and catheter use. In some elderly people, mental changes and confusion may be the only signs of a UTI. Older women and men with a UTI are more likely to be tired, shaky, and weak. They are also more likely to have muscle aches and abdominal pain. In a person with a catheter, the only symptom may be fever that does not have another likely cause. Germs without Symptoms Some people may have germs in the bladder or urinary tract, but not feel any symptoms. If a urine test shows that you have germs in your urine, but you do not feel any symptoms, you may not need any treatment. If you have germs in your urine but you feel okay, talk to your health care provider about whether antibiotics -- the medications that treat UTIs -- are needed. Diagnosis  To find out if a person has a UTI, the health care provider will ask about symptoms. He or she will then test a sample of urine. The urine test looks for bacteria that may cause the infection. The urine test also looks for white blood cells, which the body makes to fight infection. Because healthy people sometimes have bacteria in their urine, both bacteria and white blood cells must be in the urine to diagnose a UTI. If a person has UTIs often, the health care provider may order some extra tests to see if the persons urinary tract is normal. (Watch the video to learn more about what to expect when seeking help for a bladder problem. To enlarge the video, click the brackets in the lower right-hand corner. To reduce the video, press the Escape (Esc) button on your keyboard.)",NIHSeniorHealth,Urinary Tract Infections
How to prevent Urinary Tract Infections ?,"Changing some of these daily habits may help prevent urinary tract infections (UTIs). - Wipe from front to back after using the toilet. Women should wipe from front to back to keep bacteria from getting into the urethra. This step is most important after a bowel movement. Wipe from front to back after using the toilet. Women should wipe from front to back to keep bacteria from getting into the urethra. This step is most important after a bowel movement. - Drink lots of fluids, especially water. Fluids can help flush bacteria from the urinary system. Water is best. Most healthy people should try to drink six to eight, 8-ounce glasses of fluid each day. (Some people need to drink less water because of certain conditions. For example, if you have kidney failure or heart disease, you should not drink this much fluid. Ask your health care provider how much fluid is healthy for you.) Drink lots of fluids, especially water. Fluids can help flush bacteria from the urinary system. Water is best. Most healthy people should try to drink six to eight, 8-ounce glasses of fluid each day. (Some people need to drink less water because of certain conditions. For example, if you have kidney failure or heart disease, you should not drink this much fluid. Ask your health care provider how much fluid is healthy for you.) - Urinate often and when the urge arises. Try to urinate at least every 3 to 4 hours. Bacteria are more likely to grow in the bladder when urine stays in the bladder too long.  Urinate often and when the urge arises. Try to urinate at least every 3 to 4 hours. Bacteria are more likely to grow in the bladder when urine stays in the bladder too long. - Urinate after sex. Both women and men should urinate shortly after sex to flush away bacteria that may have entered the urethra during sex.  Urinate after sex. Both women and men should urinate shortly after sex to flush away bacteria that may have entered the urethra during sex. - Wear cotton underwear and loose-fitting clothes. Wearing looser, cotton clothing will allow air to keep the area around the urethra dry. Tight-fitting jeans and nylon underwear should be avoided because they can trap moisture and help bacteria grow. Wear cotton underwear and loose-fitting clothes. Wearing looser, cotton clothing will allow air to keep the area around the urethra dry. Tight-fitting jeans and nylon underwear should be avoided because they can trap moisture and help bacteria grow. Cranberry Juice Drinking cranberry juice or taking cranberry supplements may also help prevent UTIs. Some studies have shown that cranberry products make UTIs less likely, especially in people who get UTIs often. But in other studies, cranberry products did not help.",NIHSeniorHealth,Urinary Tract Infections
What is (are) Urinary Tract Infections ?,"Urinary tract infections (UTI) are a common bladder problem, especially as people age. UTIs are the second most common type of infection in the body. Each year, UTIs cause more than 8 million visits to health care providers. UTIs can happen anywhere in the urinary system (which includes the kidneys, bladder, and urethra). But UTIs are most common in the bladder. A UTI in the bladder is called cystitis. Infections in the bladder can spread to the kidneys. A UTI in the kidneys is called pyelonephritis. Sometimes, a UTI can also develop in the urethra, but this is less common. A UTI in the urethra is called urethritis. Learn more about urinary tract infections in adults.",NIHSeniorHealth,Urinary Tract Infections
What are the symptoms of Urinary Tract Infections ?,"Symptoms of a UTI in the bladder may include - cloudy, bloody, or foul-smelling urine  - pain or burning during urination  - strong and frequent need to urinate, even right after emptying the bladder  - a mild fever below 101 degrees Fahrenheit in some people. cloudy, bloody, or foul-smelling urine pain or burning during urination strong and frequent need to urinate, even right after emptying the bladder a mild fever below 101 degrees Fahrenheit in some people. If the UTI spreads to the kidneys, symptoms may include - chills and shaking   - night sweats  - feeling tired or generally ill   - fever above 101 degrees Fahrenheit  - pain in the side, back, or groin  - flushed, warm, or reddened skin  - mental changes or confusion   - nausea and vomiting  - very bad abdominal pain in some people. chills and shaking night sweats feeling tired or generally ill fever above 101 degrees Fahrenheit pain in the side, back, or groin flushed, warm, or reddened skin mental changes or confusion nausea and vomiting very bad abdominal pain in some people. Symptoms may differ depending on age, gender, and catheter use. In some elderly people, mental changes and confusion may be the only signs of a UTI. Older women and men with a UTI are more likely to be tired, shaky, and weak. They are also more likely to have muscle aches and abdominal pain. In a person with a catheter, the only symptom may be fever that does not have another likely cause. Learn more about the signs and symptoms of urinary tract infections in adults.",NIHSeniorHealth,Urinary Tract Infections
